nombre,marca,modelo,sku,categoria,condicion,estado,stock,stockMinimo,costoUSD,precioVentaBaseUSD
Almacenamiento SSD m.2 Sata 256 GB Timetec,,,ALMACENAMIENTO-SSD-M-2-SATA-256-GB,SSD,nuevo,activo,5,1,0,0
Antena Wifi 2.4 Ghz 300 mbs sencilla,,,ANTENA-WIFI-2-4-GHZ-300-MBS-SENCIL,ACCESORIOS,nuevo,activo,13,1,0,0
Antena Wifi Doble Banda 2.4 Ghz + 5Ghz,,,ANTENA-WIFI-DOBLE-BANDA-2-4-GHZ-5G,ACCESORIOS,nuevo,activo,0,1,0,0
Antena wifi PCIe Ac1200 + Bluethooth,,,ANTENA-WIFI-PCIE-AC1200-BLUETHOOTH,ACCESORIOS,nuevo,activo,0,1,0,0
Antena wifi PCIe Ax1800 + Bluethooth,,,ANTENA-WIFI-PCIE-AX1800-BLUETHOOTH,ACCESORIOS,nuevo,activo,0,1,0,0
Audifonos Bluethooth F9-5,,,AUDIFONOS-BLUETHOOTH-F9-5,AUDIFONOS,nuevo,activo,0,1,0,0
Audifonos Bluethooth JBL OWS,,,AUDIFONOS-BLUETHOOTH-JBL-OWS,AUDIFONOS,nuevo,activo,0,1,0,0
Audifonos Bluethooth M-10,,,AUDIFONOS-BLUETHOOTH-M-10,AUDIFONOS,nuevo,activo,1,1,0,0
"Audifonos Bluetooth JBL Bluetooth, caja naranja,Tiras",,,AUDIFONOS-BLUETOOTH-JBL-BLUETOOTH-,AUDIFONOS,nuevo,activo,6,1,0,0
Audifonos cable QKZ AK6,,,AUDIFONOS-CABLE-QKZ-AK6,AUDIFONOS,nuevo,activo,10,1,0,0
Audifonos cable QKZ ENZO PRO,,,AUDIFONOS-CABLE-QKZ-ENZO-PRO,AUDIFONOS,nuevo,activo,4,1,0,0
Audifonos cable QKZ AK6 pro,,,AUDIFONOS-CABLE-QKZ-AK6-PRO,AUDIFONOS,nuevo,activo,4,1,0,0
"Audifonos cable Samsung, caja negra",,,AUDIFONOS-CABLE-SAMSUNG-CAJA-NEGRA,AUDIFONOS,nuevo,activo,9,1,0,0
"Audifonos cable tipo C, caja blanca",,,AUDIFONOS-CABLE-TIPO-C-CAJA-BLANCA,AUDIFONOS,nuevo,activo,2,1,0,0
Audifonos Corsair HS55,,,AUDIFONOS-CORSAIR-HS55,AUDIFONOS,nuevo,activo,2,1,0,0
Audifonos Corsair Virtuoso RGB,,,AUDIFONOS-CORSAIR-VIRTUOSO-RGB,AUDIFONOS,nuevo,activo,2,1,0,0
Audifonos Corsair void Wirelles V2,,,AUDIFONOS-CORSAIR-VOID-WIRELLES-V2,AUDIFONOS,nuevo,activo,2,1,0,0
Audifonos Gamemax HG200,,,AUDIFONOS-GAMEMAX-HG200,AUDIFONOS,nuevo,activo,3,1,0,0
Audifonos Gamemax HG300,,,AUDIFONOS-GAMEMAX-HG300,AUDIFONOS,nuevo,activo,4,1,0,0
"Audifonos Genius, prueba tienda",,,AUDIFONOS-GENIUS-PRUEBA-TIENDA,AUDIFONOS,nuevo,activo,0,1,0,0
Audifonos HiperX Cloud,,,AUDIFONOS-HIPERX-CLOUD,AUDIFONOS,nuevo,activo,3,1,0,0
Audifonos HiperX Cloud II,,,AUDIFONOS-HIPERX-CLOUD-II,AUDIFONOS,nuevo,activo,1,1,0,0
Audifonos HiperX Cloud III,,,AUDIFONOS-HIPERX-CLOUD-III,AUDIFONOS,nuevo,activo,3,1,0,0
Audifonos JBL 200BT Casco Azul y Negro,,,AUDIFONOS-JBL-200BT-CASCO-AZUL-Y-N,AUDIFONOS,nuevo,activo,0,1,0,0
Audifonos Maono AUMH601,,,AUDIFONOS-MAONO-AUMH601,AUDIFONOS,nuevo,activo,2,1,0,0
Audifonos Onikuma k19,,,AUDIFONOS-ONIKUMA-K19,AUDIFONOS,nuevo,activo,0,1,0,0
Audifonos Onikuma x31,,,AUDIFONOS-ONIKUMA-X31,AUDIFONOS,nuevo,activo,5,1,0,0
Audifonos Onikuma T1,,,AUDIFONOS-ONIKUMA-T1,AUDIFONOS,nuevo,activo,3,1,0,0
Audifonos Onikuma gt805,,,AUDIFONOS-ONIKUMA-GT805,AUDIFONOS,nuevo,activo,2,1,0,0
Audifonos Razer Blackshark Hyperspedd wirelles,,,AUDIFONOS-RAZER-BLACKSHARK-HYPERSP,AUDIFONOS,nuevo,activo,2,1,0,0
Audifonos Razer Blackshark v2 X,,,AUDIFONOS-RAZER-BLACKSHARK-V2-X,AUDIFONOS,nuevo,activo,0,1,0,0
Audifonos Razer Kraken v3 X (2 + 1 exi),,,AUDIFONOS-RAZER-KRAKEN-V3-X-2-1-EX,AUDIFONOS,nuevo,activo,3,1,0,0
Audifonos Redragon Ares,,,AUDIFONOS-REDRAGON-ARES,AUDIFONOS,nuevo,activo,2,1,0,0
Audifonos Redragon Cronus,,,AUDIFONOS-REDRAGON-CRONUS,AUDIFONOS,nuevo,activo,7,1,0,0
Audifonos Redragon Cybill,,,AUDIFONOS-REDRAGON-CYBILL,AUDIFONOS,nuevo,activo,3,1,0,0
Audifonos Redragon Hylas,,,AUDIFONOS-REDRAGON-HYLAS,AUDIFONOS,nuevo,activo,3,1,0,0
Audifonos Redragon IrePro,,,AUDIFONOS-REDRAGON-IREPRO,AUDIFONOS,nuevo,activo,2,1,0,0
Audifonos Redragon Lamia II,,,AUDIFONOS-REDRAGON-LAMIA-II,AUDIFONOS,nuevo,activo,4,1,0,0
Audifonos Redragon Vibecore H610 **,,,AUDIFONOS-REDRAGON-VIBECORE-H610,AUDIFONOS,nuevo,activo,2,1,0,0
Audifonos Redragon Zeus X,,,AUDIFONOS-REDRAGON-ZEUS-X,AUDIFONOS,nuevo,activo,0,1,0,0
Audifonos Redragon ZeusPro,,,AUDIFONOS-REDRAGON-ZEUSPRO,AUDIFONOS,nuevo,activo,2,1,0,0
Audifonos Mchose v9,,,AUDIFONOS-MCHOSE-V9,AUDIFONOS,nuevo,activo,2,1,0,0
Audifono Mchose x9,,,AUDIFONO-MCHOSE-X9,AUDIFONOS,nuevo,activo,2,1,0,0
Audifonos T-wolf XY-212,,,AUDIFONOS-T-WOLF-XY-212,AUDIFONOS,nuevo,activo,0,1,0,0
"Base de Refrigeracion laptop 15.6""""",,,BASE-DE-REFRIGERACION-LAPTOP-15-6,COOLING,nuevo,activo,0,1,0,0
"Base de Refrigeraicon 14""""",,,BASE-DE-REFRIGERAICON-14,ACCESORIOS,nuevo,activo,0,1,0,0
Base para grafica palito,,,BASE-PARA-GRAFICA-PALITO,ACCESORIOS,nuevo,activo,0,1,0,0
Base para monitor Doble,,,BASE-PARA-MONITOR-DOBLE,ACCESORIOS,nuevo,activo,0,1,0,0
Base para monitor Fija caja marron cuadrada,,,BASE-PARA-MONITOR-FIJA-CAJA-MARRON,ACCESORIOS,nuevo,activo,0,1,0,0
Bolso Economico,,,BOLSO-ECONOMICO,ACCESORIOS,nuevo,activo,0,1,0,0
Bolso HP,,,BOLSO-HP,ACCESORIOS,nuevo,activo,0,1,0,0
Bolso Jemip,,,BOLSO-JEMIP,ACCESORIOS,nuevo,activo,0,1,0,0
Bolso Redragon,,,BOLSO-REDRAGON,ACCESORIOS,nuevo,activo,0,1,0,0
Cable USB-VGA,,,CABLE-USB-VGA,CABLES,nuevo,activo,4,1,0,0
Cable 6 pines a sata,,,CABLE-6-PINES-A-SATA,CABLES,nuevo,activo,0,1,0,0
Cable 8 pines a 2 molex,,,CABLE-8-PINES-A-2-MOLEX,CABLES,nuevo,activo,0,1,0,0
Cable Auxiliar,,,CABLE-AUXILIAR,CABLES,nuevo,activo,0,1,0,0
Cable de corriente,,,CABLE-DE-CORRIENTE,CABLES,nuevo,activo,0,1,0,0
Cable OTG-C-TIPO C,,,CABLE-OTG-C-TIPO-C,CABLES,nuevo,activo,7,1,0,0
Cable DP- DP,,,CABLE-DP-DP,CABLES,nuevo,activo,17,1,0,0
Cable DP- HDMI,,,CABLE-DP-HDMI,CABLES,nuevo,activo,0,1,0,0
Cable extension USB,,,CABLE-EXTENSION-USB,CABLES,nuevo,activo,6,1,0,0
Cable HDMI 4K 2K,,,CABLE-HDMI-4K-2K,CABLES,nuevo,activo,17,1,0,0
Cable HDMI - DVI,,,CABLE-HDMI-DVI,CABLES,nuevo,activo,0,1,0,0
Cable HDMI Mallado,,,CABLE-HDMI-MALLADO,CABLES,nuevo,activo,13,1,0,0
Cable HDMI Sencillo,,,CABLE-HDMI-SENCILLO,CABLES,nuevo,activo,14,1,0,0
Cable 3 en 1 HDTV,,,CABLE-3-EN-1-HDTV,CABLES,nuevo,activo,4,1,0,0
Cable Lan 1 metros Red,,,CABLE-LAN-1-METROS-RED,CABLES,nuevo,activo,29,1,0,0
Cable Lan 10 metros Red,,,CABLE-LAN-10-METROS-RED,CABLES,nuevo,activo,10,1,0,0
Cable Lan 5 metros Red,,,CABLE-LAN-5-METROS-RED,CABLES,nuevo,activo,16,1,0,0
Cable Ligthing - USB 3 metros,,,CABLE-LIGTHING-USB-3-METROS,CABLES,nuevo,activo,0,1,0,0
Cable Micro - USB 3 metros Cable normal,,,CABLE-MICRO-USB-3-METROS-CABLE-NOR,CABLES,nuevo,activo,0,1,0,0
"Cable Molex a Sata, 2 molex a 1 sata",,,CABLE-MOLEX-A-SATA-2-MOLEX-A-1-SAT,CABLES,nuevo,activo,0,1,0,0
Cable OTG - micro USB,,,CABLE-OTG-MICRO-USB,CABLES,nuevo,activo,0,1,0,0
Cable OTG - USB,,,CABLE-OTG-USB,CABLES,nuevo,activo,9,1,0,0
Cable para extension de fuente ASIANORSE,,,CABLE-PARA-EXTENSION-DE-FUENTE-ASI,CABLES,nuevo,activo,0,1,0,0
Cable Sata - usb,,,CABLE-SATA-USB,CABLES,nuevo,activo,9,1,0,0
